Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia
2018,julho,26,2017,julho,29,2017,julho,27,2018,julho,26
2018,julho,27,2017,julho,29,2017,julho,27,2018,julho,27
2018,julho,27,2017,julho,30,2017,julho,28,2018,julho,27
2018,julho,28,2017,julho,29,2017,julho,27,2018,julho,28
2018,julho,28,2017,julho,30,2017,julho,28,2018,julho,28
2018,julho,28,2017,agosto,2,2017,julho,31,2018,julho,28
2018,julho,31,2017,julho,30,2017,julho,28,2018,julho,31
2018,julho,31,2017,agosto,2,2017,julho,31,2018,julho,31
2018,julho,31,2017,agosto,3,2017,agosto,1,2018,julho,31
2018,julho,31,2017,agosto,4,2017,agosto,2,2018,julho,31
2018,agosto,1,2017,agosto,2,2017,julho,31,2018,agosto,1
2018,agosto,1,2017,agosto,3,2017,agosto,1,2018,agosto,1
2018,agosto,1,2017,agosto,5,2017,agosto,3,2018,agosto,1
2018,agosto,2,2017,agosto,3,2017,agosto,1,2018,agosto,2
2018,agosto,2,2017,agosto,4,2017,agosto,2,2018,agosto,2
2018,agosto,3,2017,agosto,5,2017,agosto,3,2018,agosto,3
2018,agosto,3,2017,agosto,6,2017,agosto,4,2018,agosto,3
2018,agosto,3,2017,agosto,11,2017,agosto,9,2018,agosto,3
2018,agosto,4,2017,agosto,6,2017,agosto,4,2018,agosto,4
2018,agosto,4,2017,agosto,9,2017,agosto,7,2018,agosto,4
2018,agosto,7,2017,agosto,9,2017,agosto,7,2018,agosto,7
2018,agosto,7,2017,agosto,10,2017,agosto,8,2018,agosto,7
2018,agosto,7,2017,agosto,12,2017,agosto,10,2018,agosto,7
2018,agosto,8,2017,agosto,10,2017,agosto,8,2018,agosto,8
2018,agosto,8,2017,agosto,11,2017,agosto,9,2018,agosto,8
2018,agosto,8,2017,agosto,12,2017,agosto,10,2018,agosto,8
2018,agosto,9,2017,agosto,11,2017,agosto,9,2018,agosto,9
2018,agosto,9,2017,agosto,12,2017,agosto,10,2018,agosto,9
2018,agosto,9,2017,agosto,13,2017,agosto,11,2018,agosto,9
2018,agosto,10,2017,agosto,12,2017,agosto,10,2018,agosto,10
2018,agosto,10,2017,agosto,13,2017,agosto,11,2018,agosto,10
2018,agosto,10,2017,agosto,16,2017,agosto,14,2018,agosto,10
2018,agosto,11,2017,agosto,13,2017,agosto,11,2018,agosto,11
2018,agosto,11,2017,agosto,16,2017,agosto,14,2018,agosto,11
2018,agosto,14,2017,agosto,16,2017,agosto,14,2018,agosto,14
2018,agosto,14,2017,agosto,17,2017,agosto,15,2018,agosto,14
2018,agosto,15,2017,agosto,17,2017,agosto,15,2018,agosto,15
2018,agosto,15,2017,agosto,18,2017,agosto,16,2018,agosto,15
2018,agosto,16,2017,agosto,18,2017,agosto,16,2018,agosto,16
2018,agosto,17,2017,agosto,19,2017,agosto,17,2018,agosto,17
2018,agosto,18,2017,agosto,19,2017,agosto,17,2018,agosto,18
2018,agosto,18,2017,agosto,20,2017,agosto,18,2018,agosto,18
2018,agosto,18,2017,agosto,23,2017,agosto,21,2018,agosto,18
2018,agosto,21,2017,agosto,20,2017,agosto,18,2018,agosto,21
2018,agosto,21,2017,agosto,23,2017,agosto,21,2018,agosto,21
2018,agosto,21,2017,agosto,24,2017,agosto,22,2018,agosto,21
